name,description ,location 
0001-0001-0380,"MarkWest Houston Plant-MPLX-MPLX, Canonsburg, PA, United States",needs added 
0001-0001-0471,"Continuous Process-BRIDGESTONE/FIRESTONE-BRIDGESTONE/FIRESTONE RESEARCH, Akron, Ohio, United States",needs added 
0001-0001-0641,"KENOVA MEASUREMENT SYSTEM-MPLX-MPLX G&P, 50 Big Sandy River Road, 25530, Kenova, WV, United States",needs added 
0001-0001-0760,,needs added 
0001-0001-0769,"STEAM PLANT-PENN STATE UNIVERSITY-PENNSYLVANIA STATE UNIVERSITY, UNIVERSITY PARK, PA, United States",needs added 
0001-0001-0811,"Research Center-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0001-0837,"SO2 INJECTION-OSRAM SYLVANIA-OSRAM SYLVANIA, Saint Marys, Pennsylvania, United States",needs added 
0001-0001-0839,"Pilot Plant-INEOS-Ineos Composites, Dublin, OH, United States",needs added 
0001-0001-0855,"Cleveland Works-MCGEAN-ROHCO-MCGEAN-ROHCO, INC., Cleveland, Ohio, United States",needs added 
0001-0001-1479,"Plant DeltaV Control System-INTERNATIONAL WAXES-INTERNATIONAL WAXES INC, SMETHPORT, PA, United States",needs added 
0001-0001-1767,"LIMA, OHIO REFORMER HYDROGEN PLANT-MATHESON GAS-MATHESON GAS, LIMA, OH, United States",needs added 
0001-0001-1810,"Training Center System 2-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0001-1863,"DeltaV-HUNTSMAN-Huntsman Corporation, Ashtabula, OH, United States",needs added 
0001-0001-2279,"BDO PLANT-ASHLAND-ISP Lima LLC, Lima, OH, United States",needs added 
0001-0001-2552,"Butter and Margarine-LAND O'LAKES-LAND O'LAKES, INC., Kent, Ohio, United States",needs added 
0001-0001-2683,"Mountain State/Coke Plant Boiler System-MOUNTAIN STATE CARBON-Mountain State Carbon, Follansbee, WV, United States",needs added 
0001-0001-2706,"TANK MONITOR-FILLING-PPG INDUSTRIES-PPG INDUSTRIES, Delaware, Ohio, United States",needs added 
0001-0001-3305,"BOILER CONTROL-AMERICAN EAGLE-American Eagle Paper Mills, Tyrone, Pennsylvania, United States",needs added 
0001-0001-4309,"Plant DeltaV Automation-CRODA-CRODA INC., Mill Hall, Pennsylvania, United States",needs added 
0001-0001-4540,"Stock Prep-GREIF-Greif, Inc., Massillion, Ohio, United States",needs added 
0001-0001-4545,"WASTEWATER CONTROL SYSTEM-PENN STATE UNIVERSITY-PENNSYLVANIA STATE UNIVERSITY, UNIVERSITY PARK, PA, United States",needs added 
0001-0001-4583,"Utilities ECD-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0001-5220,"DeltaV-PIXELLE SPECIALTY SOLUTIONS-Pixelle Specialty Solutions, Fremont, OH, United States",needs added 
0001-0001-5392,"DeltaV-ORRVILLE MUNICIPAL UTILITIES-Orrville Municipal Utilities, Orrville, Ohio, United States",needs added 
0001-0001-5398,"Polyol Blends-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0001-5480,"Filter-ENERGY HARBOR-Energy Harbor - Perry Nuclear Power Plant, Perry, OH, United States",needs added 
0001-0001-5664,"Mountain State/DESULPH SYSTEM-MOUNTAIN STATE CARBON-Mountain State Carbon, Follansbee, WV, United States",needs added 
0001-0001-5692,"Irvin Plant Utilities-USS-USS CORP, WEST MIFFLIN, PA, United States",needs added 
0001-0001-5738,"Plant 1 / Boiler-INEOS-Ineos Pigments Usa Inc, Ashtabula, OH, United States",needs added 
0001-0001-6059,"Durez Corporation - Kenton-DUREZ-Durez Corporation - Kenton, Kenton, Ohio, United States",needs added 
0001-0001-6273,"ERU-PPG INDUSTRIES-Ppg Industries, Circleville, Oh, United States",needs added 
0001-0001-6472,"DeltaV-VISTRA ENERGY-DYNEGY WASHINGTON II LLC, BEVERLY, OH, United States",needs added 
0001-0001-6482,"DeltaV Controls-APG POLYTECH-APG Polytech LLC, Apple Grove, WV, United States",needs added 
0001-0001-6576,"DELTAV Plant Controls-AVERY-AVERY DENNISON CHEMICAL CORP, MILL HALL, PA, United States",needs added 
0001-0001-6704,"CATALYST PLANT-INEOS-INEOS AMERICAS LLC, LIMA, OH, United States",needs added 
0001-0001-6712,"C-LINE-PPG INDUSTRIES-Ppg Industries, Circleville, Oh, United States",needs added 
0001-0001-6718,"Boiler House-TIMKEN-Timken Company, Canton, Ohio, United States",needs added 
0001-0001-6963,"DELTAV PLANT CONTROLS-UNITED REFINING-UNITED REFINING COMPANY, Warren, Pennsylvania, United States",needs added 
0001-0001-7299,"K4-PPG INDUSTRIES-Ppg Industries, Circleville, Oh, United States",needs added 
0001-0001-7359,"ERGON DCS-ERGON-ERGON WEST VIRGINIA INC, NEWELL, WV, United States",needs added 
0001-0001-7480,"Brunot Island - GAS TURBINE-GENON ENERGY INC-Genon Energy, Brunot Island, Brunot Island P, PA, United States",needs added 
0001-0001-7716,"Plant Controls-VISTRA ENERGY-Dynegy Fayette II, LLC, MASONTOWN, PA, United States",needs added 
0001-0001-7755,"Belpre (BEL) DeltaV System-ORION ENGINEERED CARBONS-Orion Engineered Carbons, Belpre, OH, United States",needs added 
0001-0001-7844,"Hydrophelics-LUBRIZOL-Lubrizol Advanced Materials, Avon Lake, OH, United States",needs added 
0001-0001-8586,"DeltaV-VELOCYS-VELOCYS INC, PLAIN CITY, OH, United States",needs added 
0001-0001-8590,"Cytec DeltaV Building 82 / Polymer Additives-CYTEC-CYTEC INDUSTRIES INC, Willow Island, West Virginia, United States",needs added 
0001-0001-8768,"Texin Automation-COVESTRO-Covestro LLC, New Martinsville, West Virginia, United States",needs added 
0001-0001-8950,"RLP-HUNTSMAN-HUNTSMAN ADVANCED MATERIALS, AKRON, OH, United States",needs added 
0001-0001-9000,"PVL Production DeltaV-LUBRIZOL-THE LUBRIZOL CORP, PAINESVILLE, OH, United States",needs added 
0001-0002-0087,"Toledo Plant System-ARCLIN-Arclin USA Inc., Toledo, OH, United States",needs added 
0001-0002-0489,"Training System-JAMES RHODES COLLEGE-James A. Rhodes State College, Lima, Ohio, United States",needs added 
0001-0002-0905,"Boiler House-ELLIOTT-Elliott Co., Hunlock Creek Power Station, Jeannette, PA, United States",needs added 
0001-0002-1134,"DOP-KRATON-Kraton Chemical Co Llc, Dover, OH, United States",needs added 
0001-0002-1135,"DELTAV-ARBORIS-Arboris LLC, Newark, OH, United States",needs added 
