Node Name,Type,Model,Description,Serial,Firmware,Version,Status,Redundant,OS Name,OS Service Pack,Bios Version,OEM Type Description,SMS Filter,SMS Type
PROPLUS,Local ProfessionalPlus,,Windows Server 2016 Standard (64-bit),Not available,,14.3.1.7386.xr,Unclassified,No,NA,NA,2.21.2 02/19/2024,Unknown,Computer|462512a9-1370-4d4b-b566-2dd06180ad20,IbsSystemDevice
BEXEC,Local Application,SE2702C*,Windows Server 2016 Standard (64-bit),36J7CH2,,14.3.1.7386.xr,Expired Warranty,No,Windows Server 2016 Standard (64-bit),None,Dell Inc. 2.17.0 03/15/2023,POWEREDGE R730,Computer|d77bd664-6061-4491-9299-93bbedbacf9a,IbsSystemDevice
BEXEC_BLDG27,Local Application,SE2702C*,Windows Server 2016 Standard (64-bit),2ZGNHQ2,,14.3.1.7386.xr,Expired Warranty,No,Windows Server 2016 Standard (64-bit),None,Dell Inc. 2.17.0 03/15/2023,POWEREDGE R730,Computer|591e4455-2787-4c45-a622-e737c0bc23f9,IbsSystemDevice
BEXEC_BLDG9,Local Application,SE2702C*,Windows Server 2016 Standard (64-bit),C6QZQP2,,14.3.1.7386.xr,Expired Warranty,No,Windows Server 2016 Standard (64-bit),None,Dell Inc. 2.17.0 03/15/2023,POWEREDGE R730,Computer|37e26ff0-d383-481d-9cca-c98826ce2ac0,IbsSystemDevice
HISTORIAN,Local Application,,Windows Server 2016 Standard (64-bit),Not available,,14.3.1.7386.xr,Unclassified,No,NA,NA,2.19.1 06/04/2023,Unknown,Computer|e2d0efaa-258f-4ff7-8528-9f607cda3aa1,IbsSystemDevice
OS_CTRLRM27A,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),8PZJZB3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.39.0 11/07/2024,5820 XL Tower,Computer|48161d87-097e-49c0-a735-522d8319215b,IbsSystemDevice
OS_CTRLRM32A,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),GJYQZB3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.39.0 11/07/2024,5820 XL Tower,Computer|e3721b78-93a5-4ab8-95b1-31b76f312b36,IbsSystemDevice
OS_CTRLRM32B,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),BWD8RN3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.39.0 11/07/2024,5820 XL Tower,Computer|567a220e-1dd6-4910-958f-86c0c82174b0,IbsSystemDevice
OS_EMULSIONS,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),GJZJZB3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.39.0 11/07/2024,5820 XL Tower,Computer|38b6851d-0399-4d58-8ab0-039d49cab06b,IbsSystemDevice
OS_LATEX1,Local Operator,SE2613C02,Windows 10 Enterprise 2016 LTSB (64-bit),7739ZC3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.22.2 09/12/2024,7920 XL Rack,Computer|e0e8999b-eca4-425e-a663-3b0cdc2f6f34,IbsSystemDevice
OS_LATEX2,Local Operator,SE2613C02,Windows 10 Enterprise 2016 LTSB (64-bit),7741ZC3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.22.2 09/12/2024,7920 XL Rack,Computer|882e426c-edc7-422f-a772-17dd7b21ff46,IbsSystemDevice
OS_RG21REACTOR,Local Operator,SE2613C02,Windows 10 Enterprise 2016 LTSB (64-bit),7748ZC3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.22.2 09/12/2024,7920 XL Rack,Computer|1a83aa30-8875-441a-b815-9ab91a2b80c9,IbsSystemDevice
OS_RS18REACTOR,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),6X9QD33,,14.3.1.7386.xr,Expired Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.31.0 07/06/2023,5820 XL Tower,Computer|c56c9d7c-4d9d-46ff-b269-a3bbf3433c7a,IbsSystemDevice
OS_SUPRV,Local Operator,SE2612C02,Windows 10 Enterprise 2016 LTSB (64-bit),GJZQZB3,,14.3.1.7386.xr,Under Warranty,No,Windows 10 Enterprise 2016 LTSB (64-bit),None,Dell Inc. 2.39.0 11/07/2024,5820 XL Tower,Computer|6c04a9c9-c85e-410d-bb3c-4576215410f0,IbsSystemDevice
TERMSVR,Local Operator,SE2702C*,Windows Server 2016 Standard (64-bit),JYJJHQ2,,14.3.1.7386.xr,Expired Warranty,No,Windows Server 2016 Standard (64-bit),None,Dell Inc. 2.17.0 03/15/2023,POWEREDGE R730,Computer|8a41fd00-ba3e-413a-a7ca-40be6d7115d7,IbsSystemDevice
TERMSVR_BLDG27,Local Operator,SE2702C*,Windows Server 2016 Standard (64-bit),2ZGPHQ2,,14.3.1.7386.xr,Expired Warranty,No,Windows Server 2016 Standard (64-bit),None,Dell Inc. 2.13.0 05/14/2021,POWEREDGE R730,Computer|8a62f8ab-d7ae-46d5-8334-99b32b9ea3ac,IbsSystemDevice
OS_BLD19_GENMFC,Not available,,Not available,Unknown,,Not available,Unclassified,No,NA,NA,Not available,Not available,Computer|38aa18d4-8ff8-4333-b30e-4bfd8f3d9b35,IbsSystemDevice
OS_RG10REACTOR,Not available,,Not available,Unknown,,Not available,Unclassified,No,NA,NA,Not available,Not available,Computer|ae618339-2cb7-438f-90b6-113941dc23ec,IbsSystemDevice
OS_RG9REACTOR,Not available,,Not available,Unknown,,Not available,Unclassified,No,NA,NA,Not available,Not available,Computer|61aa19fe-ef6d-44fb-a0b2-824f6bc746f3,IbsSystemDevice
CTRL_BLDG2,Controller,VE3008,DeltaV MQ Controller,P173574991,Rev 10.3,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|3a57285b-fe78-42fd-b64c-18648b0045ce,IbsSystemDevice
CTRL_BLDG2-partner,Controller,VE3008,DeltaV MQ Controller,P173575057,Rev 10.3,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|e7ba868a-b376-4d43-94e7-80cede2f8006,IbsSystemDevice
CTRL_CM100_00,Controller,SE3007,DeltaV SX Controller,K203160040,Rev 47.10,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|6a82550f-32c7-428e-8f42-0fb4ad145e4b,IbsSystemDevice
CTRL_CM100_00-partner,Controller,SE3007,DeltaV SX Controller,K203160080,Rev 47.10,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|34e7c1b1-90a2-4a74-9438-ced1612cf2a5,IbsSystemDevice
CTRL_CM100_01,Controller,SE3007,DeltaV SX Controller,K203261938,Rev 47.10,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|bc77b4f5-3c89-464a-a4f7-06c7c78a423b,IbsSystemDevice
CTRL_CM100_01-partner,Controller,SE3007,DeltaV SX Controller,K203261925,Rev 47.10,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|69e9fda2-934d-47b0-8f95-b0450c3ecea9,IbsSystemDevice
CTRL_EAST_TANKS,Controller,SE3007,DeltaV SX Controller,P191481279,Rev 47.6,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|fff213e0-e592-41aa-8946-f59851211cc5,IbsSystemDevice
CTRL_EAST_TANKS-partner,Controller,SE3007,DeltaV SX Controller,P191481264,Rev 47.6,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|4a023207-c1df-4574-890f-322a79560c70,IbsSystemDevice
CTRL_EMULSIONS,Controller,VE3008,DeltaV MQ Controller,P170673469,Rev 10.2,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|ccf61e09-bd16-471b-98dd-e24353149341,IbsSystemDevice
CTRL_EMULSIONS-partner,Controller,VE3008,DeltaV MQ Controller,P172078955,Rev 10.3,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|bdd9c048-67b9-49b5-bc57-d5e57dd3e0dc,IbsSystemDevice
CTRL_LATEX,Controller,SE3007,DeltaV SX Controller,P160574020,Rev 47.4,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|2d5e224b-9c6a-43fa-a449-b847d42589ac,IbsSystemDevice
CTRL_LATEX-partner,Controller,SE3007,DeltaV SX Controller,P160574009,Rev 47.4,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|0923fd62-c304-4004-bf5f-1a511829c658,IbsSystemDevice
CTRL_RG21REACTOR,Controller,VE3008,DeltaV MQ Controller,K241960401,Rev 10.19,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|46f3b490-5984-41e7-885f-2c82f548b48a,IbsSystemDevice
CTRL_RG21REACTOR-partner,Controller,VE3008,DeltaV MQ Controller,K241960393,Rev 10.19,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|ee1fabcc-cc93-4672-a10f-962f380bd6ac,IbsSystemDevice
CTRL_RS18REACTOR,Controller,VE3008,DeltaV MQ Controller,K242360697,Rev 10.19,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|fc2ee0ab-d615-4a81-a567-6fa1ab70c121,IbsSystemDevice
CTRL_RS18REACTOR-partner,Controller,VE3008,DeltaV MQ Controller,K242360778,Rev 10.19,14.3.1.7412.xr,Current,Yes,NA,NA,,,Controller|91782823-3c7a-425c-ab89-7713ade64811,IbsSystemDevice
